
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:54517        127.0.0.1:4200         ESTABLISHED
  TCP    127.0.0.1:54804        127.0.0.1:54805        ESTABLISHED
  TCP    127.0.0.1:54805        127.0.0.1:54804        ESTABLISHED
  TCP    127.0.0.1:54818        127.0.0.1:54819        ESTABLISHED
  TCP    127.0.0.1:54819        127.0.0.1:54818        ESTABLISHED
  TCP    127.0.0.1:55237        127.0.0.1:4200         CLOSE_WAIT
  TCP    127.0.0.1:55238        127.0.0.1:4200         CLOSE_WAIT
  TCP    127.0.0.1:55239        127.0.0.1:4200         CLOSE_WAIT
  TCP    127.0.0.1:55302        127.0.0.1:4200         ESTABLISHED
  TCP    127.0.0.1:55303        127.0.0.1:4200         ESTABLISHED
  TCP    127.0.0.1:55304        127.0.0.1:4200         ESTABLISHED
  TCP    127.0.0.1:55314        127.0.0.1:4200         ESTABLISHED
  TCP    127.0.0.1:55319        127.0.0.1:4444         ESTABLISHED
  TCP    127.0.0.1:55325        127.0.0.1:9229         SYN_SENT
  TCP    127.0.0.1:56450        127.0.0.1:56451        ESTABLISHED
  TCP    127.0.0.1:56451        127.0.0.1:56450        ESTABLISHED
  TCP    127.0.0.1:56457        127.0.0.1:56458        ESTABLISHED
  TCP    127.0.0.1:56458        127.0.0.1:56457        ESTABLISHED
  TCP    127.0.0.1:64313        127.0.0.1:64314        ESTABLISHED
  TCP    127.0.0.1:64314        127.0.0.1:64313        ESTABLISHED
  TCP    127.0.0.1:64322        127.0.0.1:64323        ESTABLISHED
  TCP    127.0.0.1:64323        127.0.0.1:64322        ESTABLISHED
